,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
f_rotated___44,0.0019808980966125093,0.9343829979531929,0.04062554928868883,-1.7200292508492387,1.8747988486406324,309.37062414497933,1.0125834183332076
f_rotated___45,0.10210666349581313,1.0236626281166465,0.056449826572758675,-1.5566182435452702,2.1772661797144854,64.73775819828306,1.0021749501803776
f_rotated___46,-0.30335539614623763,0.9869695825896866,0.04635401030519231,-2.046820184207687,1.7401418816976486,181.50547972805873,0.9995254743688401
f_rotated___47,0.19682628438982472,0.9249284257203374,0.0431968752703262,-1.504762863089247,2.0160533262064795,86.03748844113507,1.0318599767897065
f_rotated___48,-0.07867318036081405,1.0871900342240945,0.07338737034150739,-2.11584547008826,1.8097140636653382,26.433545724856263,0.9996722659482726
f_rotated___49,0.18433899775839147,0.9869007544035114,0.042004319669950704,-1.732711026959918,2.181655997353717,330.75010750751994,1.0045129655618026
f_rotated___50,0.2662667299328391,0.897048469859637,0.030806693441113947,-1.5416569793283807,2.1153443836167765,517.4962144439651,1.0027342300986468
f_rotated___51,-0.11379909255349653,0.9224630156701634,0.0407640075725143,-1.816711537064456,1.8010481578295063,377.1065818789289,0.9996463567286918
f_rotated___52,-0.3427581217303544,0.9860899069089021,0.04869741440513371,-2.2525304848781493,1.4880741443979997,172.45139283476573,1.002466543510522
f_rotated___53,-0.019458837774642013,0.9377409550648536,0.03744297844628115,-1.9826327453369357,1.763142782620087,238.57032926672696,1.0172589661048304
f_rotated___54,-0.5525332665408142,1.0744455899450882,0.0695305760252549,-2.3477168247306945,1.295865326479697,45.71858477507068,1.002511917353258
f_rotated___55,0.029930457990041955,0.9088318422704428,0.03385129391094204,-1.7475885756344367,1.755102329494277,418.8642633585295,1.012365670736465
f_rotated___56,-0.0786285388702541,0.9115207880468521,0.04065884726241706,-1.912106783847704,1.65941999036322,363.72660989604134,1.0014941258700558
f_rotated___57,0.08231264923369778,0.9456325684891992,0.043849572211299266,-1.882180684188167,1.6593430053787175,167.17608641371731,1.00924622704033
f_rotated___58,0.05101280597377122,0.9880935637585027,0.04603903753552481,-1.8016643617136185,1.9310052181019055,214.4963549512469,1.0009707009504352
f_rotated___59,0.0488994933624112,0.9085475027976336,0.03440094654716762,-1.6639614197174943,1.9582706582191989,519.5104710421202,1.0047197107923689
